,Res_Txn_Same,Ship_Res_Same,Time,Country of Transaction_United Kingdom,Shipping Address_United Kingdom,Country of Residence_United Kingdom,Entry Mode_PIN,Amount,Entry Mode_CVC,Entry Mode_Tap,Merchant Group_Children
73374,0.0,0.0,0.3913043478260869,0,0,1,0,0.06,0,1,0
6525,1.0,1.0,0.30434782608695654,1,1,1,1,0.45,0,0,0
93616,1.0,1.0,0.7391304347826086,1,1,1,1,0.0375,0,0,0
78086,1.0,1.0,0.30434782608695654,0,0,0,0,0.03,0,1,0
67950,0.0,0.0,0.8260869565217391,0,0,1,1,0.705,0,0,0
69842,1.0,1.0,0.5217391304347826,0,0,0,0,0.0225,0,1,0
68095,1.0,1.0,0.9130434782608695,1,1,1,1,0.625,0,0,0
69300,1.0,1.0,0.9565217391304348,1,1,1,1,0.6875,0,0,0
17765,1.0,1.0,0.5652173913043478,1,1,1,0,0.66,1,0,0
33577,1.0,1.0,1.0,0,0,0,0,0.0675,1,0,0
65096,1.0,1.0,0.8260869565217391,1,1,1,1,0.07,0,0,0
29548,0.0,0.0,0.6521739130434783,0,0,1,1,0.0125,0,0,0
1236,1.0,1.0,0.9565217391304348,1,1,1,0,0.5375,1,0,0
52231,1.0,1.0,0.6956521739130435,1,1,1,0,0.0475,0,1,0
80306,1.0,1.0,0.7826086956521738,0,0,0,1,0.41000000000000003,0,0,0
20166,1.0,1.0,0.7826086956521738,0,0,0,0,0.20500000000000002,1,0,0
86247,1.0,1.0,0.4782608695652174,1,1,1,1,0.40750000000000003,0,0,0
90068,1.0,1.0,0.9130434782608695,1,1,1,0,0.075,0,1,0
78374,0.0,0.0,0.6521739130434783,0,0,1,1,0.0225,0,0,0
42205,1.0,1.0,0.8695652173913043,1,1,1,1,0.1875,0,0,1
39900,1.0,1.0,0.30434782608695654,0,0,0,0,0.6525,1,0,0
30037,1.0,1.0,0.7826086956521738,1,1,1,0,0.015,0,1,0
10710,1.0,1.0,0.30434782608695654,1,1,1,0,0.07,1,0,0
32083,1.0,1.0,0.43478260869565216,0,0,0,0,0.06,0,1,0
6904,1.0,1.0,0.3913043478260869,0,0,0,0,0.0525,1,0,0
78723,1.0,1.0,0.9130434782608695,1,1,1,1,0.0425,0,0,1
41797,1.0,0.0,0.43478260869565216,1,0,1,1,0.595,0,0,0
69247,1.0,1.0,0.7826086956521738,0,0,0,1,0.6075,0,0,0
26260,1.0,1.0,0.5217391304347826,1,1,1,0,0.05,0,1,1
12892,1.0,1.0,0.6086956521739131,1,1,1,0,0.02,1,0,0
34509,1.0,0.0,0.5652173913043478,1,0,1,1,0.7000000000000001,0,0,1
26668,1.0,1.0,0.9565217391304348,0,0,0,0,0.035,0,1,0
11821,1.0,0.0,0.9565217391304348,1,0,1,1,0.89,0,0,1
10370,0.0,0.0,0.7391304347826086,0,0,1,0,0.0625,0,1,0
16029,1.0,1.0,0.7391304347826086,0,0,0,0,0.4925,1,0,0
70202,1.0,1.0,0.7826086956521738,1,1,1,0,0.8075,1,0,0
50314,0.0,0.0,0.9130434782608695,0,0,1,0,0.055,1,0,0
32588,1.0,1.0,0.9130434782608695,1,1,1,0,0.065,0,1,0
10358,0.0,0.0,0.43478260869565216,0,0,1,1,0.9500000000000001,0,0,0
10888,1.0,0.0,0.30434782608695654,1,0,1,1,0.735,0,0,0
72843,1.0,1.0,0.6521739130434783,1,1,1,1,0.22,0,0,0
53426,1.0,0.0,0.6086956521739131,1,0,1,0,0.0125,1,0,0
55992,1.0,1.0,0.6956521739130435,1,1,1,0,0.035,1,0,0
38140,1.0,0.0,0.5652173913043478,1,0,1,1,0.3625,0,0,0
55968,1.0,1.0,0.5217391304347826,1,1,1,1,0.8225,0,0,0
10939,1.0,1.0,0.6521739130434783,0,0,0,1,0.445,0,0,0
86560,1.0,1.0,0.5217391304347826,1,1,1,1,0.0325,0,0,0
42160,1.0,0.0,0.30434782608695654,1,0,1,1,0.0375,0,0,0
80131,1.0,1.0,0.30434782608695654,1,1,1,1,0.6475,0,0,1
46442,1.0,1.0,0.6086956521739131,1,1,1,1,0.025,0,0,0
55298,1.0,1.0,0.30434782608695654,1,1,1,1,0.8825000000000001,0,0,0
68916,1.0,1.0,0.5217391304347826,1,1,1,1,0.4225,0,0,0
43990,1.0,0.0,0.7391304347826086,1,0,1,1,0.9725,0,0,0
97782,1.0,1.0,0.30434782608695654,1,1,1,0,0.9,1,0,0
25285,1.0,1.0,0.30434782608695654,1,1,1,0,0.2625,1,0,0
7408,1.0,1.0,0.34782608695652173,1,1,1,0,0.59,1,0,0
18247,1.0,1.0,0.5652173913043478,1,1,1,1,0.49,0,0,0
57218,1.0,1.0,0.8695652173913043,0,0,0,0,0.0275,1,0,0
25305,1.0,1.0,0.6521739130434783,1,1,1,1,0.9450000000000001,0,0,0
76157,1.0,1.0,0.8260869565217391,1,1,1,1,0.5475,0,0,0
23235,1.0,1.0,0.30434782608695654,1,1,1,0,0.06,0,1,0
21661,1.0,1.0,0.43478260869565216,1,1,1,1,0.9175,0,0,0
10400,1.0,0.0,0.6956521739130435,1,0,1,1,0.095,0,0,0
98117,1.0,0.0,0.9130434782608695,1,0,1,0,0.0675,1,0,0
71319,1.0,1.0,0.4782608695652174,1,1,1,0,0.0475,0,1,0
53492,1.0,1.0,0.8260869565217391,0,0,0,1,0.0675,0,0,0
30414,1.0,0.0,0.3913043478260869,1,0,1,1,0.5675,0,0,0
70363,1.0,0.0,0.6956521739130435,1,0,1,0,0.015,0,1,0
11428,0.0,0.0,0.08695652173913043,0,0,1,1,0.0225,0,0,0
59646,0.0,0.0,0.5217391304347826,0,0,1,1,0.20750000000000002,0,0,0
8729,1.0,1.0,0.43478260869565216,1,1,1,0,0.165,1,0,0
60521,1.0,1.0,0.7826086956521738,1,1,1,1,0.015,0,0,0
10102,1.0,1.0,0.7826086956521738,1,1,1,1,0.0375,0,0,0
9605,1.0,1.0,0.5652173913043478,1,1,1,1,0.785,0,0,0
58628,1.0,1.0,0.8695652173913043,1,1,1,1,0.785,0,0,0
74264,0.0,0.0,0.3913043478260869,0,0,1,1,0.55,0,0,0
49844,1.0,1.0,0.5217391304347826,1,1,1,1,0.37,0,0,0
11518,1.0,1.0,0.3913043478260869,0,0,0,0,0.0525,0,1,0
54300,1.0,1.0,0.7826086956521738,1,1,1,0,0.0675,0,1,0
91423,1.0,1.0,1.0,1,1,1,1,0.77,0,0,1
99258,1.0,1.0,0.6956521739130435,1,1,1,0,0.0675,0,1,0
30410,1.0,1.0,0.43478260869565216,1,1,1,1,0.0675,0,0,0
45406,1.0,1.0,0.7391304347826086,1,1,1,0,0.37,1,0,0
9872,1.0,1.0,1.0,1,1,1,0,0.0125,0,1,0
55527,1.0,0.0,1.0,0,1,0,1,0.075,0,0,0
3479,1.0,1.0,0.5652173913043478,1,1,1,0,0.0375,0,1,0
52764,1.0,1.0,0.9130434782608695,0,0,0,0,0.07,1,0,1
22835,1.0,1.0,0.34782608695652173,1,1,1,0,0.87,1,0,0
58893,1.0,1.0,0.5652173913043478,1,1,1,0,0.0625,0,1,1
11771,1.0,1.0,0.34782608695652173,1,1,1,1,0.0725,0,0,0
84338,1.0,1.0,0.9565217391304348,1,1,1,1,0.0575,0,0,0
59596,1.0,1.0,0.5217391304347826,0,0,0,1,0.215,0,0,0
37396,1.0,1.0,1.0,1,1,1,1,0.0225,0,0,0
89991,1.0,1.0,0.7391304347826086,0,0,0,0,0.9625,1,0,0
54805,1.0,1.0,0.43478260869565216,0,0,0,1,0.0675,0,0,0
5955,1.0,1.0,0.3913043478260869,0,0,0,0,0.04,1,0,0
4192,1.0,0.0,0.30434782608695654,1,0,1,0,0.0675,0,1,0
69287,1.0,1.0,0.4782608695652174,1,1,1,1,0.0425,0,0,0
60253,1.0,1.0,0.9565217391304348,1,1,1,1,0.5425,0,0,0
79252,1.0,1.0,1.0,1,1,1,1,0.67,0,0,0
25053,1.0,1.0,0.34782608695652173,1,1,1,0,0.075,0,1,0
73058,1.0,1.0,0.7391304347826086,1,1,1,0,0.0625,1,0,0
50724,0.0,0.0,0.8260869565217391,0,0,1,0,0.0375,1,0,0
65024,1.0,1.0,0.3913043478260869,1,1,1,1,0.05,0,0,0
22592,1.0,0.0,0.8260869565217391,1,0,1,0,0.055,0,1,0
13940,1.0,1.0,0.6521739130434783,1,1,1,1,0.0675,0,0,0
87032,1.0,1.0,0.5652173913043478,1,1,1,1,0.47500000000000003,0,0,0
76600,1.0,1.0,0.8260869565217391,1,1,1,1,0.085,0,0,0
79167,1.0,1.0,0.8695652173913043,1,1,1,0,0.05,1,0,0
4358,1.0,1.0,0.9565217391304348,1,1,1,1,0.4025,0,0,0
26573,0.0,0.0,0.4782608695652174,0,0,1,0,0.065,1,0,0
93862,0.0,0.0,0.2608695652173913,0,0,1,1,0.015,0,0,0
11499,1.0,1.0,0.5652173913043478,1,1,1,0,0.0625,1,0,1
82937,0.0,0.0,0.5217391304347826,0,0,1,1,0.115,0,0,0
84041,1.0,1.0,0.5217391304347826,1,1,1,0,0.07,0,1,0
14262,1.0,1.0,0.6086956521739131,1,1,1,1,0.06,0,0,0
94226,1.0,1.0,0.6956521739130435,1,1,1,1,0.405,0,0,0
26258,1.0,0.0,0.9565217391304348,1,0,1,0,0.06,0,1,0
38095,0.0,0.0,0.7391304347826086,0,0,1,0,0.295,1,0,0
97664,1.0,1.0,0.43478260869565216,1,1,1,1,0.0275,0,0,0
71232,1.0,1.0,0.6956521739130435,1,1,1,0,0.3075,1,0,0
78992,1.0,1.0,0.43478260869565216,0,0,0,1,0.5725,0,0,0
93918,1.0,0.0,0.6956521739130435,1,0,1,1,0.0725,0,0,0
10544,1.0,1.0,0.34782608695652173,1,1,1,1,0.35000000000000003,0,0,0
31724,1.0,1.0,0.5217391304347826,0,0,0,0,0.63,1,0,0
79514,1.0,1.0,0.30434782608695654,1,1,1,1,0.5650000000000001,0,0,0
20665,0.0,0.0,0.7826086956521738,0,0,1,0,0.1,1,0,0
14945,1.0,1.0,0.8695652173913043,1,1,1,0,0.0625,0,1,0
44786,1.0,1.0,0.8260869565217391,1,1,1,0,0.11750000000000001,1,0,0
97841,1.0,1.0,0.6086956521739131,1,1,1,0,0.02,1,0,1
23839,1.0,1.0,0.6521739130434783,1,1,1,1,0.07,0,0,0
95161,1.0,1.0,0.4782608695652174,1,1,1,1,0.0175,0,0,0
18359,1.0,1.0,0.5652173913043478,0,0,0,1,0.055,0,0,0
72048,1.0,0.0,1.0,1,0,1,1,0.0575,0,0,0
15835,1.0,1.0,0.9130434782608695,1,1,1,0,0.28500000000000003,1,0,0
27336,0.0,0.0,0.08695652173913043,0,0,1,1,0.0925,0,0,0
96562,1.0,0.0,0.9130434782608695,1,0,1,1,0.0525,0,0,0
92330,1.0,0.0,0.6956521739130435,1,0,1,0,0.0425,0,1,0
47620,1.0,1.0,0.8695652173913043,0,0,0,0,0.0475,1,0,0
90611,1.0,1.0,0.5652173913043478,1,1,1,0,0.055,1,0,0
30232,0.0,0.0,1.0,0,0,1,0,0.2125,1,0,0
69906,1.0,1.0,0.43478260869565216,1,1,1,0,0.03,0,1,0
25051,1.0,1.0,0.8260869565217391,1,1,1,0,0.04,1,0,0
37772,1.0,1.0,0.3913043478260869,1,1,1,1,0.0725,0,0,0
94029,0.0,0.0,0.5217391304347826,0,0,1,0,0.025,1,0,0
91277,1.0,1.0,0.30434782608695654,0,0,0,1,0.0425,0,0,0
81882,1.0,1.0,0.4782608695652174,1,1,1,1,0.6425,0,0,0
535,1.0,1.0,0.7826086956521738,0,0,0,1,0.0525,0,0,0
86639,1.0,0.0,0.21739130434782608,1,0,1,0,0.0275,0,1,1
370,1.0,0.0,1.0,1,0,1,0,0.065,0,1,0
97947,1.0,1.0,0.6956521739130435,1,1,1,0,0.465,1,0,0
78286,0.0,0.0,0.6956521739130435,0,0,1,1,0.765,0,0,0
58313,1.0,1.0,0.6521739130434783,1,1,1,1,0.1925,0,0,0
99959,1.0,0.0,0.9130434782608695,1,0,1,0,0.03,0,1,0
92216,1.0,1.0,0.5652173913043478,1,1,1,0,0.7775,1,0,0
81044,1.0,1.0,0.7826086956521738,1,1,1,1,0.0675,0,0,0
85855,1.0,1.0,0.5217391304347826,1,1,1,1,0.0775,0,0,0
61464,1.0,1.0,0.34782608695652173,1,1,1,0,0.225,1,0,0
17085,0.0,0.0,0.08695652173913043,0,0,1,1,0.9075,0,0,0
82720,1.0,1.0,0.6521739130434783,0,0,0,1,0.5700000000000001,0,0,0
7625,1.0,1.0,0.9130434782608695,1,1,1,1,0.995,0,0,1
54563,1.0,1.0,0.9565217391304348,1,1,1,1,0.0275,0,0,1
76847,1.0,0.0,0.6956521739130435,1,0,1,0,0.4425,1,0,0
49731,1.0,1.0,0.7826086956521738,1,1,1,1,0.8575,0,0,0
38009,1.0,1.0,0.7826086956521738,1,1,1,0,0.065,0,1,0
78541,1.0,1.0,0.6956521739130435,0,0,0,1,0.0275,0,0,0
97763,1.0,1.0,0.5652173913043478,1,1,1,1,0.045,0,0,0
33103,1.0,1.0,0.9565217391304348,1,1,1,0,0.0525,1,0,0
72337,1.0,1.0,0.5652173913043478,1,1,1,0,0.04,1,0,1
91245,1.0,1.0,0.9130434782608695,0,0,0,1,0.0625,0,0,0
62567,1.0,0.0,0.7826086956521738,1,0,1,1,0.97,0,0,0
85816,0.0,0.0,0.043478260869565216,0,0,1,1,0.25,0,0,1
10913,1.0,1.0,0.6956521739130435,1,1,1,1,0.5825,0,0,0
74258,1.0,1.0,0.5217391304347826,1,1,1,0,0.3175,1,0,0
42038,1.0,1.0,0.6521739130434783,1,1,1,0,0.42,1,0,0
17059,0.0,0.0,0.5652173913043478,0,0,1,1,0.0225,0,0,0
82344,1.0,0.0,0.43478260869565216,1,0,1,1,0.655,0,0,1
31715,1.0,1.0,0.7391304347826086,1,1,1,1,0.115,0,0,0
8028,1.0,1.0,0.5652173913043478,1,1,1,1,0.015,0,0,1
13584,1.0,0.0,0.3913043478260869,1,0,1,0,0.0325,1,0,1
97522,0.0,0.0,0.6086956521739131,0,0,1,0,0.0325,0,1,0
89194,1.0,1.0,0.7826086956521738,1,1,1,0,0.065,0,1,0
1171,1.0,1.0,0.7826086956521738,1,1,1,0,0.04,1,0,0
42149,1.0,1.0,0.9565217391304348,1,1,1,1,0.0175,0,0,0
27810,1.0,0.0,0.34782608695652173,1,0,1,0,0.055,0,1,0
11282,1.0,1.0,0.6956521739130435,1,1,1,1,0.8575,0,0,0
14985,1.0,1.0,0.8260869565217391,1,1,1,1,0.4575,0,0,0
96666,1.0,0.0,0.8260869565217391,1,0,1,1,0.185,0,0,0
38955,1.0,1.0,0.34782608695652173,1,1,1,1,0.0675,0,0,0
86241,1.0,1.0,0.8260869565217391,0,0,0,0,0.865,1,0,0
18517,1.0,1.0,0.5652173913043478,0,0,0,0,0.185,1,0,0
92377,1.0,1.0,0.5217391304347826,1,1,1,0,0.0525,1,0,0
5988,1.0,1.0,0.34782608695652173,1,1,1,0,0.04,0,1,0
96815,1.0,0.0,0.7826086956521738,1,0,1,0,0.0425,1,0,0
15477,1.0,1.0,0.3913043478260869,1,1,1,1,0.64,0,0,0
6166,1.0,1.0,0.9130434782608695,1,1,1,1,0.40750000000000003,0,0,0
40926,0.0,0.0,0.08695652173913043,0,0,1,1,0.0625,0,0,1
91292,1.0,1.0,0.43478260869565216,1,1,1,1,0.6475,0,0,0
61154,1.0,1.0,0.4782608695652174,0,0,0,1,0.46,0,0,0
52106,1.0,1.0,0.4782608695652174,1,1,1,1,0.7075,0,0,0
73308,1.0,1.0,0.7391304347826086,1,1,1,1,0.0225,0,0,0
79742,1.0,1.0,0.7826086956521738,1,1,1,1,0.645,0,0,0
69801,1.0,1.0,1.0,1,1,1,0,0.0475,0,1,0
87489,1.0,1.0,0.6086956521739131,1,1,1,0,0.06,1,0,0
90087,1.0,1.0,0.6521739130434783,1,1,1,1,0.9275,0,0,0
26683,1.0,0.0,0.9565217391304348,1,0,1,0,0.0625,0,1,0
85575,1.0,1.0,0.5652173913043478,1,1,1,1,0.405,0,0,0
39964,1.0,0.0,0.5652173913043478,1,0,1,1,0.05,0,0,0
25331,1.0,1.0,0.3913043478260869,0,0,0,1,0.37,0,0,0
99707,0.0,0.0,0.9130434782608695,0,0,1,1,0.4875,0,0,0
26777,1.0,1.0,0.30434782608695654,0,0,0,0,0.9625,1,0,0
52172,1.0,0.0,0.043478260869565216,1,0,1,0,0.075,1,0,1
72204,0.0,0.0,0.5217391304347826,0,0,1,0,0.0525,1,0,0
87828,1.0,1.0,0.43478260869565216,1,1,1,1,0.445,0,0,0
82020,1.0,0.0,0.43478260869565216,1,0,1,1,0.7125,0,0,0
7490,1.0,1.0,0.34782608695652173,1,1,1,0,0.20500000000000002,1,0,0
83928,1.0,1.0,0.7391304347826086,0,0,0,1,0.7825,0,0,0
59185,1.0,1.0,1.0,1,1,1,1,0.18,0,0,0
87703,1.0,0.0,0.6956521739130435,1,0,1,1,0.3825,0,0,0
20323,1.0,1.0,0.7826086956521738,1,1,1,1,0.5975,0,0,0
16376,1.0,1.0,0.6521739130434783,1,1,1,1,0.195,0,0,0
21285,1.0,1.0,0.43478260869565216,1,1,1,1,0.4275,0,0,1
39310,1.0,1.0,0.6956521739130435,1,1,1,1,0.06,0,0,0
65304,0.0,0.0,0.30434782608695654,0,0,1,0,0.04,0,1,0
62278,1.0,1.0,1.0,1,1,1,1,0.5975,0,0,0
83054,1.0,1.0,0.9130434782608695,1,1,1,0,0.72,1,0,0
26172,1.0,1.0,0.8695652173913043,1,1,1,0,0.06,0,1,0
67636,1.0,1.0,0.8695652173913043,1,1,1,1,0.5025000000000001,0,0,1
67619,1.0,0.0,0.6521739130434783,1,0,1,0,0.055,1,0,0
3938,1.0,1.0,0.6956521739130435,0,0,0,0,0.0225,0,1,0
25195,1.0,1.0,0.6956521739130435,1,1,1,0,0.595,1,0,1
20580,1.0,1.0,0.8260869565217391,1,1,1,0,0.4825,1,0,0
87252,1.0,1.0,0.6521739130434783,1,1,1,1,0.9400000000000001,0,0,0
78493,1.0,1.0,0.43478260869565216,1,1,1,1,0.07,0,0,0
47615,1.0,1.0,0.8260869565217391,1,1,1,0,0.0375,1,0,0
55011,1.0,1.0,0.6086956521739131,1,1,1,0,0.0575,1,0,0
73937,1.0,1.0,0.3913043478260869,0,0,0,1,0.365,0,0,1
47343,0.0,0.0,0.21739130434782608,0,0,1,0,0.8225,1,0,0
49556,1.0,1.0,0.5652173913043478,0,0,0,1,0.0475,0,0,0
7028,1.0,1.0,0.5217391304347826,1,1,1,1,0.9400000000000001,0,0,0
44328,1.0,1.0,0.43478260869565216,1,1,1,0,0.0125,1,0,0
46023,1.0,1.0,0.5217391304347826,1,1,1,0,0.0725,0,1,1
4264,1.0,1.0,0.3913043478260869,0,0,0,0,0.0175,1,0,0
14391,1.0,1.0,0.34782608695652173,1,1,1,0,0.8025,1,0,0
7887,1.0,1.0,0.9565217391304348,1,1,1,1,0.3575,0,0,0
473,1.0,1.0,0.5652173913043478,0,0,0,0,0.0425,1,0,0
56703,0.0,0.0,0.34782608695652173,0,0,1,0,0.0725,1,0,0
42532,1.0,1.0,0.34782608695652173,0,0,0,1,0.12,0,0,0
86009,1.0,1.0,0.5652173913043478,1,1,1,1,0.0625,0,0,0
14317,1.0,1.0,0.8695652173913043,1,1,1,0,0.3075,1,0,0
49855,1.0,1.0,0.30434782608695654,1,1,1,1,0.41000000000000003,0,0,0
41523,1.0,1.0,0.7826086956521738,1,1,1,0,0.0475,1,0,0
78817,1.0,1.0,0.8260869565217391,1,1,1,0,0.06,0,1,0
48142,1.0,1.0,0.5217391304347826,1,1,1,0,0.0125,0,1,0
67349,1.0,1.0,0.7391304347826086,1,1,1,1,0.6975,0,0,0
75812,1.0,1.0,0.6521739130434783,0,0,0,0,0.07,0,1,0
67460,0.0,0.0,0.8695652173913043,0,0,1,0,0.0275,1,0,0
71366,1.0,0.0,0.34782608695652173,1,0,1,0,0.3,1,0,0
92794,1.0,1.0,0.9130434782608695,0,0,0,1,0.705,0,0,0
5031,1.0,1.0,0.6521739130434783,1,1,1,1,0.03,0,0,0
82458,1.0,1.0,0.43478260869565216,1,1,1,1,0.23,0,0,0
50184,1.0,1.0,0.9130434782608695,0,0,0,1,0.015,0,0,0
44445,1.0,1.0,0.43478260869565216,1,1,1,0,0.02,1,0,0
70974,1.0,1.0,0.6521739130434783,1,1,1,1,0.0725,0,0,0
7364,1.0,1.0,0.3913043478260869,1,1,1,1,0.28750000000000003,0,0,0
5194,1.0,1.0,0.8695652173913043,0,0,0,0,0.0225,1,0,1
67513,1.0,1.0,0.7826086956521738,1,1,1,0,0.065,0,1,0
62260,1.0,1.0,0.9565217391304348,0,0,0,0,0.025,0,1,0
40545,1.0,1.0,0.5652173913043478,1,1,1,1,0.04,0,0,0
17728,1.0,1.0,0.3913043478260869,1,1,1,1,0.0225,0,0,0
89309,1.0,1.0,0.7826086956521738,1,1,1,0,0.275,1,0,0
56641,1.0,1.0,0.6086956521739131,0,0,0,1,0.405,0,0,1
30354,1.0,1.0,0.3913043478260869,1,1,1,1,0.4,0,0,0
22828,1.0,1.0,0.6956521739130435,1,1,1,1,0.0375,0,0,0
53585,1.0,0.0,0.8695652173913043,1,0,1,0,0.0425,0,1,0
10156,0.0,0.0,0.7826086956521738,0,0,1,0,0.0125,1,0,0
38810,0.0,0.0,0.4782608695652174,0,0,1,0,0.0325,1,0,0
39291,1.0,1.0,0.6956521739130435,1,1,1,1,0.0625,0,0,0
66368,1.0,1.0,0.6086956521739131,1,1,1,1,0.075,0,0,0
72065,1.0,1.0,0.30434782608695654,0,0,0,0,0.715,1,0,0
50142,1.0,0.0,0.3913043478260869,1,0,1,1,0.2225,0,0,0
75575,1.0,1.0,0.7391304347826086,1,1,1,1,0.7575000000000001,0,0,0
67685,1.0,1.0,0.4782608695652174,1,1,1,0,0.0425,1,0,0
79502,1.0,1.0,0.43478260869565216,1,1,1,1,0.195,0,0,0
89898,1.0,1.0,0.34782608695652173,0,0,0,1,0.18,0,0,0
9090,1.0,1.0,0.3913043478260869,1,1,1,1,0.3775,0,0,0
56402,1.0,1.0,0.9130434782608695,0,0,0,0,0.775,1,0,0
87568,1.0,1.0,0.5652173913043478,0,0,0,1,0.755,0,0,1
7957,0.0,0.0,0.043478260869565216,0,0,1,0,0.0725,1,0,0
94586,1.0,0.0,0.6086956521739131,0,1,0,0,0.015,1,0,0
61333,1.0,1.0,0.9130434782608695,1,1,1,0,0.4525,1,0,0
59851,0.0,0.0,0.7391304347826086,0,0,1,0,0.0275,0,1,0
50723,1.0,0.0,0.2608695652173913,1,0,1,0,0.0225,1,0,0
39351,1.0,1.0,0.9130434782608695,0,0,0,0,0.04,1,0,0
70859,1.0,0.0,0.6956521739130435,1,0,1,0,0.0575,0,1,0
94530,1.0,0.0,0.13043478260869565,1,0,1,0,0.0425,0,1,1
67764,1.0,1.0,0.8695652173913043,1,1,1,0,0.0725,0,1,0
63255,1.0,1.0,0.6086956521739131,1,1,1,1,0.0725,0,0,0
88295,1.0,1.0,0.9130434782608695,1,1,1,1,0.49,0,0,0
82294,0.0,0.0,0.34782608695652173,0,0,1,0,0.045,1,0,0
57368,1.0,1.0,0.8260869565217391,1,1,1,0,0.025,1,0,0
73882,1.0,1.0,0.4782608695652174,1,1,1,1,0.2175,0,0,0
17028,1.0,1.0,0.8695652173913043,1,1,1,0,0.075,0,1,0
82884,1.0,1.0,0.4782608695652174,1,1,1,1,0.9225,0,0,0
19222,1.0,1.0,0.9565217391304348,0,0,0,1,0.055,0,0,0
98032,1.0,1.0,0.9565217391304348,0,0,0,0,0.0725,0,1,0
35012,1.0,1.0,0.9130434782608695,1,1,1,0,0.0275,1,0,0
25358,1.0,1.0,0.6521739130434783,1,1,1,1,0.20500000000000002,0,0,0
29701,1.0,1.0,0.9130434782608695,0,0,0,0,0.705,1,0,0
23432,1.0,1.0,0.9130434782608695,1,1,1,0,0.075,1,0,0
66795,1.0,1.0,0.3913043478260869,1,1,1,1,0.9325,0,0,0
8178,1.0,1.0,0.5652173913043478,0,0,0,0,0.035,1,0,0
14763,0.0,0.0,0.13043478260869565,0,0,1,0,0.055,0,1,0
67907,1.0,1.0,0.8695652173913043,1,1,1,1,0.7925,0,0,0
73276,1.0,1.0,0.4782608695652174,1,1,1,0,0.9475,1,0,0
73253,1.0,1.0,0.3913043478260869,1,1,1,0,0.8625,1,0,0
3350,1.0,1.0,0.43478260869565216,0,0,0,1,0.58,0,0,0
91644,1.0,1.0,0.6521739130434783,1,1,1,1,0.7775,0,0,0
42197,1.0,1.0,0.9130434782608695,1,1,1,0,0.55,1,0,0
31721,1.0,1.0,0.7391304347826086,1,1,1,1,0.0375,0,0,0
98540,1.0,1.0,1.0,1,1,1,1,0.0575,0,0,0
36358,1.0,1.0,0.6086956521739131,1,1,1,1,0.045,0,0,0
13956,1.0,0.0,0.5217391304347826,1,0,1,0,0.2175,1,0,0
65056,1.0,1.0,0.8260869565217391,1,1,1,0,0.0525,0,1,0
77247,1.0,1.0,0.34782608695652173,1,1,1,1,0.085,0,0,0
91922,1.0,1.0,0.6956521739130435,1,1,1,1,0.3825,0,0,0
69267,1.0,1.0,0.30434782608695654,1,1,1,0,0.095,1,0,0
14743,1.0,1.0,0.3913043478260869,1,1,1,0,0.0475,0,1,0
99853,1.0,1.0,0.8260869565217391,1,1,1,0,0.0475,1,0,1
19636,1.0,1.0,0.5217391304347826,1,1,1,1,0.5875,0,0,1
72570,1.0,1.0,0.7391304347826086,1,1,1,0,0.065,1,0,0
36073,1.0,1.0,0.6086956521739131,1,1,1,1,0.7575000000000001,0,0,0
88188,1.0,1.0,1.0,1,1,1,1,0.9,0,0,0
31129,1.0,1.0,0.4782608695652174,0,0,0,0,0.0625,0,1,0
70018,1.0,1.0,0.34782608695652173,1,1,1,0,0.3325,1,0,0
28986,1.0,1.0,0.5652173913043478,1,1,1,0,0.41250000000000003,1,0,0
36679,1.0,1.0,0.8695652173913043,1,1,1,1,0.0525,0,0,1
44086,1.0,1.0,0.6521739130434783,1,1,1,1,0.14250000000000002,0,0,0
88010,1.0,1.0,0.7391304347826086,1,1,1,0,0.965,1,0,0
16195,1.0,0.0,0.9130434782608695,1,0,1,1,0.5525,0,0,0
19457,1.0,1.0,0.30434782608695654,1,1,1,1,0.2225,0,0,0
91079,1.0,0.0,1.0,1,0,1,1,0.88,0,0,0
70805,1.0,1.0,0.6956521739130435,0,0,0,0,0.03,1,0,1
82738,1.0,1.0,0.30434782608695654,1,1,1,1,0.045,0,0,0
2391,1.0,1.0,0.5652173913043478,0,0,0,0,0.02,1,0,0
93422,1.0,1.0,0.30434782608695654,1,1,1,1,0.505,0,0,1
39675,0.0,0.0,0.0,0,0,1,0,0.0575,1,0,0
8352,0.0,0.0,0.5652173913043478,0,0,1,1,0.5225,0,0,0
50648,1.0,1.0,0.43478260869565216,1,1,1,1,0.74,0,0,0
79980,0.0,0.0,0.6521739130434783,0,0,1,0,0.7775,1,0,1
38490,1.0,1.0,0.30434782608695654,0,0,0,1,0.0475,0,0,0
98941,1.0,1.0,0.8695652173913043,1,1,1,0,0.065,0,1,0
34131,1.0,1.0,0.6521739130434783,1,1,1,1,0.6225,0,0,0
78689,1.0,1.0,0.6956521739130435,1,1,1,0,0.0525,0,1,0
10372,1.0,1.0,0.30434782608695654,1,1,1,1,0.4475,0,0,0
51687,1.0,1.0,0.6521739130434783,1,1,1,1,0.545,0,0,0
65798,1.0,1.0,0.43478260869565216,1,1,1,1,0.47000000000000003,0,0,0
11671,1.0,1.0,0.6086956521739131,1,1,1,1,0.8725,0,0,0
6086,1.0,1.0,0.4782608695652174,1,1,1,1,0.405,0,0,0
